field,cleaned_value,total_count,original_variants
Administration_route,intravenous,13,Intravenous infusion (9); IV infusion (2); Intravenous (IV) (1); IV (1)
Administration_route,ocular,11,Ophthalmic (4); Intraocular (intravitreal) (2); Topical (ocular) (1); Intraocular (1); Topical (1); Eye drops (1); Topical ophthalmic (1)
Administration_route,oral; rectal,1,Oral and rectal (1)
Administration_route,nasal,3,Intranasal (2); intranasal (1)
Administration_route,oral; buccal,1,Oral/buccal (1)
Administration_route,extracorporeal circulation,1,Extracorporeal circulation via photopheresis (1)
Administration_route,oral; vaginal,1,oral; intravaginal (1)
Administration_route,inhalation,6,Oral inhalation (6)
Administration_route,intravenous; Subcutaneous,1,Intravenous and Subcutaneous (1)
Administration_route,vaginal,2,Intravaginally (1); Intravaginal (1)
Administration_route,intravenous; intramuscular,1,Intravenous infusion or intramuscular (1)
Administration_route,intramuscular;intradermal,1,Intramuscular and intradermal (1)
Administration_route,oral; intramuscular,1,Oral and intramuscular (1)
Administration_route,intravenous; subcutaneous,4,"Intravenous injection, subcutaneous injection (1); Intravenous and subcutaneous (1); Intravenously (IV) or subcutaneously (SC) (1); Intravenous infusion and subcutaneous injection (1)"
Administration_route,intramuscular;subcutaneous,1,Intramuscular and subcutaneous (1)
Administration_route,subcutaneous,3,Subcutaneously (2); SC injection (1)
Administration_route,intravascular,1,Intravascular injection (1)
Administration_route,oral; intravenous,4,"Oral (PO) (capecitabine) and IV (oxaliplatin) (1); oral, intravenous (1); Oral, intravenous infusion (1); Oral and intravenous (1)"
Administration_route,intravenous; Intramuscular,1,"Intravenous, Intramuscular (1)"
Administration_route,intramuscular,4,Intramuscularly (4)
Administration_route,subcutaneous; intravenous,5,"Subcutaneous, intravenous (2); Subcutaneous injection, subcutaneous infusion, intravenous injection, intravenous infusion (1); Subcutaneous administration and intravenous infusion (1); Subcutaneous, and intravenous infusion (1)"
Administration_route,intravesical,1,Intravesically (1)
Administration_route,oral; nasogastric,1,Oral and nasogastric (1)
Administration_route,subcutaneous; oral,1,Subcutaneous injection/Oral (1)
Administration_route,intramuscular;deep subcutaneous,2,Intramuscular or deep subcutaneous injection (1); Intramuscular or deep subcutaneous (1)
Administration_route,intravenous; interstitial,1,Intravenous and interstitial (1)
Administration_route,intramuscular; intraglandular,1,"Intramuscular, intraglandular (1)"
Administration_route,subcutaneous; intramuscular,1,"Subcutaneous, intramuscular (1)"
Administration_route,subcutaneous; intravenous; extracorporeal circulation,1,"Subcutaneous, intravenous and extracorporeal circulation (haemodialysis) (1)"
Disease_class(es),Neoplasms; diseases of the digestive system,4,Neoplasms; Diseases of the liver (4)
Disease_class(es),Infectious and parasitic diseases; diseases of the digestive system,1,Infectious and parasitic diseases; Diseases of the liver (1)
Disease_class(es),diseases of the digestive system; Diseases of the nervous system,1,Diseases of the liver; Diseases of the nervous system (1)
Disease_class(es),Diseases of the genitourinary system; diseases of the digestive system,1,Diseases of the genitourinary system; Diseases of the liver (1)
Drug_class,other,1,Radiopharmaceutical (1)
Drug_name,Oralair tablet,1,Oralair Sublingual Tablet (1)
Indication_approved,"Cardiac, circulatory and micro-circulatory diagnostics; Liver function diagnostics; ocular angiography diagnostics",1,"Cardiac, circulatory and micro-circulatory diagnostics; Liver function diagnostics; Ophthalmic angiography diagnostics (1)"
Indication_approved,"As an adjunct to diet and exercise to improve glycaemic control in patients with type 2 diabetes whose diabetes is not adequately controlled on metformin hydrochloride alone or who are already treated with the combination of vildagliptin and metformin hydrochloride, as separate tablet.",1,"As an adjunct to diet and exercise to improve glycaemic control in patients with type 2 diabetes whose diabetes is not adequately controlled on metformin hydrochloride alone or who are already treated with the combination of vildagliptin and metformin hydrochloride, as separate tablets. (1)"
Indication_approved,Reduction of ocular pressure in adult patients with open angle glaucoma or ocular hypertension who are insufficiently responsive to beta blockers or prostaglandin analogues and require a combination therapy.,1,Reduction of intraocular pressure in adult patients with open angle glaucoma or ocular hypertension who are insufficiently responsive to beta blockers or prostaglandin analogues and require a combination therapy. (1)
Indication_approved,Chronic rhinosinusitis with nasal polyps (CRSwNP) with inadequate response to nasal corticosteroids,1,Chronic rhinosinusitis with nasal polyps (CRSwNP) with inadequate response to intranasal corticosteroids (1)
Indication_approved,Decrease of ocular pressure (IOP) in patients with open-angle glaucoma or ocular hypertension for whom monotherapy with either component provides insufficient IOP reduction.,1,Decrease of intraocular pressure (IOP) in patients with open-angle glaucoma or ocular hypertension for whom monotherapy with either component provides insufficient IOP reduction. (1)
Indication_approved,Reduction of elevated ocular pressure in open-angle glaucoma or ocular hypertension,1,Reduction of elevated intraocular pressure in open-angle glaucoma or ocular hypertension (1)
Indication_approved,Lowering of ocular pressure in patients with chronic open angle glaucoma or ocular hypertension,1,Lowering of intraocular pressure in patients with chronic open angle glaucoma or ocular hypertension (1)
Indication_approved,Symptomatic treatment of moderate to severe allergic rhinitis and rhino-conjunctivitis in adults and children 12 years and older where use of a combination (nasal antihistamine and glucocorticoid) is appropriate.,1,Symptomatic treatment of moderate to severe allergic rhinitis and rhino-conjunctivitis in adults and children 12 years and older where use of a combination (intranasal antihistamine and glucocorticoid) is appropriate. (1)
Indication_requested,"Cardiac, circulatory and micro-circulatory diagnostics; Liver function diagnostics; ocular angiography diagnostics",1,"Cardiac, circulatory and micro-circulatory diagnostics; Liver function diagnostics; Ophthalmic angiography diagnostics (1)"
Indication_requested,Reduction of ocular pressure in adult patients with open angle glaucoma or ocular hypertension when concomitant therapy is appropriate.,1,Reduction of intraocular pressure in adult patients with open angle glaucoma or ocular hypertension when concomitant therapy is appropriate. (1)
Indication_requested,Chronic rhinosinusitis with nasal polyps (CRSwNP) with inadequate response to nasal corticosteroids,1,Chronic rhinosinusitis with nasal polyps (CRSwNP) with inadequate response to intranasal corticosteroids (1)
Indication_requested,Decrease of ocular pressure (IOP) in patients with open-angle glaucoma or ocular hypertension for whom monotherapy provides insufficient IOP reduction.,1,Decrease of intraocular pressure (IOP) in patients with open-angle glaucoma or ocular hypertension for whom monotherapy provides insufficient IOP reduction. (1)
Indication_requested,Reduction of elevated ocular pressure in open-angle glaucoma or ocular hypertension,1,Reduction of elevated intraocular pressure in open-angle glaucoma or ocular hypertension (1)
Indication_requested,Lowering of ocular pressure in patients with chronic open angle glaucoma or ocular hypertension,1,Lowering of intraocular pressure in patients with chronic open angle glaucoma or ocular hypertension (1)
