field,cleaned_value,total_count,original_variants
Administration_route,subcutaneous,1,Subcutaneous injection (1)
Administration_route,intradermal; subcutaneous; intratumoral; peritumoral,1,"Intradermal use, Subcutaneous use, Intratumoral use, Peritumoral use (1)"
Administration_route,oral; intramuscular,1,"Oral use, Intramuscular use (1)"
Administration_route,intraarterial; intravenous; subcutaneous,2,"Intraarterial use, Intravenous use, Subcutaneous use (2)"
Administration_route,intravenous; subcutaneous,6,"intravenous or subcutaneous (2); Intravenous use and subcutaneous use (2); Intravenous and subcutaneous (1); Intravenous, Subcutaneous (1)"
Administration_route,inhalation,4,oral inhalation (4)
Administration_route,intramuscular; intravenous,1,intramuscular or intravenous (1)
Administration_route,oral,1,Oral use (1)
Administration_route,intra-artricular,2,Intra-articular (1); Intraarticular (1)
Administration_route,intravenous; oral,2,Intravenous use and Oral use (2)
Administration_route,subcutaneous; intravenous,1,"Subcutaneous use, Intravenous use (1)"
Administration_route,nasal,1,intranasal (1)
Administration_route,intramuscular; intravenous; subcutaneous,1,"intramuscular, intravenous or subcutaneous (1)"
Administration_route,ocular,2,Intraocular use (1); Topical ocular (1)
Administration_route,intramuscular; subcutaneous,1,intramuscular or subcutaneous (1)
Administration_route,intratumoral,1,Intratumoural (1)
Administration_route,surgical,1,surgical implantation (1)
Disease_class(es),diseases of the digestive system; Congenital malformations and chromosomal abnormalities,1,Diseases of the liver; Congenital malformations and chromosomal abnormalities (1)
Disease_class(es),"Neoplasms; endocrine, nutritional, and metabolic diseases",1,Neoplasms; Diseases of the endocrine system (1)
Disease_class(es),Infectious and parasitic diseases; diseases of the digestive system,4,Infectious and parasitic diseases; Diseases of the liver (4)
Disease_class(es),other,1,Diseases of the immune system (1)
Disease_class(es),"diseases of the digestive system; Endocrine, nutritional, and metabolic diseases",1,"Diseases of the liver; Endocrine, nutritional, and metabolic diseases (1)"
Disease_class(es),Neoplasms; diseases of the digestive system,1,Neoplasms; Diseases of the liver (1)
Disease_class(es),diseases of the digestive system; Diseases of the skin; Congenital malformations and chromosomal abnormalities,1,Diseases of the liver; Diseases of the skin; Congenital malformations and chromosomal abnormalities (1)
Disease_class(es),"Neoplasms; Diseases of the nervous system; endocrine, nutritional, and metabolic diseases",1,Neoplasms; Diseases of the nervous system; Diseases of the endocrine system (1)
Disease_class(es),"Neoplasms; Diseases of the respiratory system; endocrine, nutritional, and metabolic diseases",1,"Neoplasms; Diseases of the respiratory system; Diseases of the endocrine, nutritional, and metabolic diseases (1)"
Drug_class,peptides and proteins,2,Oligonucleotide (1); Antisense oligonucleotide (1)
Drug_class,other,5,Antibody-drug conjugate (4); Vitamins (1)
Drug_class,Cell and gene therapy,1,Gene therapy (1)
Drug_class,Other,2,Antibiotics (1); Antibiotic (1)
Drug_name,Vorinostat MSD 100 mg capsule,1,Vorinostat MSD 100 mg hard capsules (1)
Indication_approved,Treatment of essential hypertension in adults: Add on therapy for adults whose blood pressure is not adequately controlled on amlodipine. Replacement therapy for adult patients receiving telmisartan and amlodipine from separate tablet.,1,Treatment of essential hypertension in adults: Add on therapy for adults whose blood pressure is not adequately controlled on amlodipine. Replacement therapy for adult patients receiving telmisartan and amlodipine from separate tablets. (1)
Indication_approved,treatment of type 2 diabetes mellitus patients who are unable to achieve sufficient glycaemic control at their maximally tolerated dose of oral metformin alone or who are already treated with the combination of vildagliptin and metformin as separate tablet,2,treatment of type 2 diabetes mellitus patients who are unable to achieve sufficient glycaemic control at their maximally tolerated dose of oral metformin alone or who are already treated with the combination of vildagliptin and metformin as separate tablets (2)
Indication_approved,Reduction of elevated ocular pressure in chronic open-angle glaucoma and ocular hypertension,1,Reduction of elevated intraocular pressure in chronic open-angle glaucoma and ocular hypertension (1)
Indication_approved,Decrease of elevated ocular pressure in adult patients with ocular hypertension or open-angle glaucoma.,1,Decrease of elevated intraocular pressure in adult patients with ocular hypertension or open-angle glaucoma. (1)
Indication_approved,Long-term treatment of pulmonary arterial hypertension (PAH) in adult patients of WHO Functional Class (FC) II to III who are already treated with the combination of macitentan and tadalafil given concurrently as separate tablet.,1,Long-term treatment of pulmonary arterial hypertension (PAH) in adult patients of WHO Functional Class (FC) II to III who are already treated with the combination of macitentan and tadalafil given concurrently as separate tablets. (1)
