field,cleaned_value,total_count,original_variants
Administration_route,intramuscular; intravenous,58,"INTRAMUSCULAR, INTRAVENOUS (46); IM-IV (12)"
Administration_route,oral,268,"ORAL-28 (194); ORAL-21 (46); TABLET (11); FILM COATED (8); ORAL SUSPENSION (4); CAPSULE (2); EXTENDED RELEASE (1); DELAYED RELEASE;  ORAL AND TABLET; SOLUTION (1); TABLET, EXTENDED RELEASE (1)"
Administration_route,intravenous,24,IV (INFUSION) (21); MULTIDOSE; SINGLE-DOSE (1); SINGLE-DOSE (1); SINGLE-USE (1)
Administration_route,topical; vaginal,15,"TOPICAL, VAGINAL (15)"
Administration_route,intramuscular; intravenous; subcutaneous,31,"INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS (31)"
Administration_route,intravenous; subcutaneous; SUBCUTANEOUS,4,"INTRAVENOUS, SUBCUTANEOUS; SUBCUTANEOUS (4)"
Administration_route,intravenous; subcutaneous,54,"INTRAVENOUS, SUBCUTANEOUS (54)"
Administration_route,oral; oral,32,ORAL-21; ORAL-28 (30); ORAL-20; ORAL-21 (2)
Administration_route,Injection,36,"VIAL (19); SOLUTION (7); SINGLE-USE (3); SUSPENSION (2); MULTIDOSE; SINGLE-USE (1); SINGLE-DOSE (1); POWDER, FOR INJECTION SOLUTION, LYOPHILIZED POWDER (1); INJECTABLE (1); SUSPENSION, EXTENDED RELEASE (1)"
Administration_route,inhalation; oral,20,"INHALATION, ORAL (18); Inhalation, Oral (2)"
Administration_route,oral; rectal,39,"ORAL, RECTAL (39)"
Administration_route,injection; oral,12,"INJECTION, ORAL (12)"
Administration_route,irrigation; urethral,3,"IRRIGATION, URETHRAL (3)"
Administration_route,Subcutaneous,4,SYRINGE (3); SINGLE-USE (1)
Administration_route,buccal; sublingual,20,"BUCCAL, SUBLINGUAL (20)"
Administration_route,intramuscular; subcutaneous,12,"INTRAMUSCULAR, SUBCUTANEOUS (12)"
Administration_route,INJECTION,2,"INJECTION; SINGLE-DOSE (1); INJECTION; POWDER,FOR SOLUTION (1)"
Administration_route,INJECTION; intramuscular; intravenous,7,"INJECTION; INTRAMUSCULAR, INTRAVENOUS (7)"
Administration_route,ophthalmic; otic,5,"OPHTHALMIC, OTIC (5)"
Administration_route,intra-articular; intramuscular; intravitreal,2,"INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVITREAL (2)"
Administration_route,INTRAVENOUS; intramuscular; subcutaneous; INTRAOSSEOUS; ENDOTRACHEAL,4,"INTRAVENOUS, INTRAMUSCULAR, SUBCUTANEOUS, INTRAOSSEOUS, ENDOTRACHEAL (4)"
Administration_route,urethral,2,URETERAL (2)
Administration_route,ORAL; oral,4,ORAL; ORAL-28 (4)
Administration_route,intravenous; intravesicular; ophthalmic,1,"INTRAVENOUS, INTRAVESICULAR, OPHTHALMIC (1)"
Administration_route,INTRAMUSCULAR; intramuscular; subcutaneous,1,"INTRAMUSCULAR; INTRAMUSCULAR, SUBCUTANEOUS (1)"
Administration_route,rectal; sublingual,1,"RECTAL, SUBLINGUAL (1)"
Administration_route,subcutaneous,1,SINGLE-USE (1)
Administration_route,INTRAVESICAL; Intravesical; urethral,1,"INTRAVESICAL; Intravesical, Ureteral (1)"
Administration_route,intracavitary; intravenous; intravesical,5,"INTRACAVITARY, INTRAVENOUS, INTRAVESICAL (5)"
Administration_route,N/A,5,"UNKNOWN (4); POWDER, FOR SOLUTION (1)"
Administration_route,injection,3,"SOLUTION,CONCENTRATE (1); POWDER, FOR INJECTION SOLUTION, LYOPHILIZED POWDER (1); INJECTION, EMULSION (1)"
Administration_route,intravenous; oral,3,"INTRAVENOUS, ORAL (3)"
Administration_route,intravenous; Oral,1,Iv (Infusion); Oral (1)
Administration_route,SUBCUTANEOUS,3,SUBCUTANEOUS LYOPHILIZED POWER (2); SINGLE-USE; SUBCUTANEOUS (1)
Administration_route,ORAL,3,ORAL; ORALLY DISINTEGRATING (2); ORAL; ORAL SUSPENSION (1)
Administration_route,intralymphatic; intrauterine,1,"INTRALYMPHATIC, INTRAUTERINE (1)"
Administration_route,intramuscular; intravenous; intramuscular; intravenous; subcutaneous,2,"INTRAMUSCULAR, INTRAVENOUS; INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS (2)"
Administration_route,ORAL; oral; oral,1,ORAL; ORAL-20; ORAL-21 (1)
Administration_route,INJECTION; intramuscular; intravenous; ORAL,1,"INJECTION; INTRAMUSCULAR, INTRAVENOUS; ORAL (1)"
Administration_route,inhalation; intravenous,2,"INHALATION, INTRAVENOUS (2)"
Administration_route,intramuscular,1,EXTENDED RELEASE (1)
Administration_route,intraveous,1,SINGLE-USE (1)
Administration_route,INTRAVENOUS,1,"INTRAVENOUS, INTRAVENOUS (1)"
Administration_route,Intravenous,3,SINGLE-USE (2); FOR SOLUTION (1)
Administration_route,IONTOPHORESIS; TRANSDERMAL,1,"IONTOPHORESIS, TRANSDERMAL (1)"
Administration_route,INJECTION; intramuscular; subcutaneous,1,"INJECTION; INTRAMUSCULAR, SUBCUTANEOUS (1)"
Administration_route,INJECTION; urethral; URETHRAL,1,INJECTION; URETERAL; URETHRAL (1)
Administration_route,intraocular,1,DROPS (1)
Administration_route,oral; Oral,1,ORAL-28; Oral (1)
Administration_route,IONTOPHORESIS; TOPICAL,2,"IONTOPHORESIS, TOPICAL (2)"
Administration_route,INTRAVENOUS; intravenous,1,INTRAVENOUS; IV (INFUSION) (1)
Administration_route,intramuscular; intravenous; subcutaneous; INTRAOCULAR,1,"INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS; INTRAVENOUS; INTRAVENOUS, INTRAOCULAR, INTRAMUSCULAR, SUBCUTANEOUS (1)"
Administration_route,intramuscular; oral,1,"INTRAMUSCULAR, ORAL (1)"
Administration_route,INJECTION; injection; oral; injection; oral; rectal; ORAL; URETHRAL,1,"INJECTION; INJECTION, ORAL; INJECTION, ORAL, RECTAL; ORAL; URETHRAL (1)"
Administration_route,INJECTION; urethral,1,INJECTION; URETERAL (1)
Administration_route,injection; oral; injection; oral; rectal,1,"INJECTION, ORAL; INJECTION, ORAL, RECTAL (1)"
Administration_route,INTRAVENOUS; INTRAOCULAR; intramuscular; subcutaneous,1,"INTRAVENOUS, INTRAOCULAR, INTRAMUSCULAR, SUBCUTANEOUS (1)"
Administration_route,intravenous; interstitial,1,"INTRAVENOUS, INTERSTITIAL (1)"
