field,cleaned_value,total_count,original_variants
Administration_route,topical,41,TOPICAL (HOUSEHOLD) (15); TOPICAL (COMMERCIAL) (14); TOPICAL (HOSPITAL/HC FACILITIES) (12)
Administration_route,not reported,15,0-UNASSIGNED (15)
Administration_route,RECTAL; ORAL; INTRAVASCULAR; intraarticular; SUBARACHNOIDAL,1,RECTAL; ORAL; INTRAVASCULAR; INTRA-ARTICULAR; SUBARACHNOIDAL (1)
Administration_route,INTRAMUSCULAR; intraarticular,2,INTRAMUSCULAR; INTRA-ARTICULAR (2)
Administration_route,haemodialysis,17,HAEMODIALYSIS (INTRAPERITONEAL) (17)
Administration_route,INTRASYNOVIAL; INTRALESIONAL; intraarticular; INTRAMUSCULAR,1,INTRASYNOVIAL; INTRALESIONAL; INTRA-ARTICULAR; INTRAMUSCULAR (1)
Administration_route,intraarterial; INTRAVENOUS,2,INTRA-ARTERIAL; INTRAVENOUS (2)
Administration_route,INTRAMUSCULAR; intraarticular; INTRALESIONAL; INTRAVENOUS; SOFT TISSUE INJECTION,1,INTRAMUSCULAR; INTRA-ARTICULAR; INTRALESIONAL; INTRAVENOUS; SOFT TISSUE INJECTION (1)
Administration_route,INTRASYNOVIAL; INTRAMUSCULAR; intraarticular; INTRALESIONAL,1,INTRASYNOVIAL; INTRAMUSCULAR; INTRA-ARTICULAR; INTRALESIONAL (1)
Administration_route,INTRASYNOVIAL; intraarticular; INTRALESIONAL; INTRAMUSCULAR,1,INTRASYNOVIAL; INTRA-ARTICULAR; INTRALESIONAL; INTRAMUSCULAR (1)
Administration_route,INTRATHECAL; INTRACEREBROVENTRICULAR; INTRAMUSCULAR; INTRAVENOUS; intraarterial,1,INTRATHECAL; INTRACEREBROVENTRICULAR; INTRAMUSCULAR; INTRAVENOUS; INTRA-ARTERIAL (1)
Administration_route,INTRALESIONAL; intraarticular; INTRAMUSCULAR; INTRASYNOVIAL,2,INTRALESIONAL; INTRA-ARTICULAR; INTRAMUSCULAR; INTRASYNOVIAL (2)
Administration_route,INTRAMUSCULAR; INTRABURSAL; intraarticular; INTRADERMAL,1,INTRAMUSCULAR; INTRABURSAL; INTRA-ARTICULAR; INTRADERMAL (1)
Administration_route,INTRACEREBROVENTRICULAR; INTRATHECAL; INTRAVENOUS; INTRAMUSCULAR; intraarterial,1,INTRACEREBROVENTRICULAR; INTRATHECAL; INTRAVENOUS; INTRAMUSCULAR; INTRA-ARTERIAL (1)
Administration_route,INTRASYNOVIAL; INTRADERMAL; intraarticular; INTRABURSAL,1,INTRASYNOVIAL; INTRADERMAL; INTRA-ARTICULAR; INTRABURSAL (1)
Administration_route,ORAL; intraarticular; RECTAL; SUBARACHNOIDAL; INTRAVASCULAR,1,ORAL; INTRA-ARTICULAR; RECTAL; SUBARACHNOIDAL; INTRAVASCULAR (1)
Administration_route,INTRAMUSCULAR; INTRATHECAL; INTRAVENOUS; INTRACEREBROVENTRICULAR; intraarterial,1,INTRAMUSCULAR; INTRATHECAL; INTRAVENOUS; INTRACEREBROVENTRICULAR; INTRA-ARTERIAL (1)
Administration_route,INTRAVENOUS; intraarterial; INTRAMUSCULAR,2,INTRAVENOUS; INTRA-ARTERIAL; INTRAMUSCULAR (2)
Administration_route,INTRAVENOUS; intraarterial,4,INTRAVENOUS; INTRA-ARTERIAL (4)
Administration_route,PERIARTICULAR; INTRASYNOVIAL; INTRABURSAL; intraarticular,1,PERIARTICULAR; INTRASYNOVIAL; INTRABURSAL; INTRA-ARTICULAR (1)
Administration_route,topical; topical,1,TOPICAL (COMMERCIAL); TOPICAL (HOSPITAL/HC FACILITIES) (1)
Administration_route,INTRACAVITARY; INTRAMUSCULAR; INTRAVENOUS; intraarterial; SUBCUTANEOUS,1,INTRACAVITARY; INTRAMUSCULAR; INTRAVENOUS; INTRA-ARTERIAL; SUBCUTANEOUS (1)
Administration_route,intraintestinal,1,INTRAINTESTINAL (UPPER) (1)
Administration_route,INTRAVENOUS; INTRATHECAL; INTRAMUSCULAR; intraarterial; INTRACEREBROVENTRICULAR,1,INTRAVENOUS; INTRATHECAL; INTRAMUSCULAR; INTRA-ARTERIAL; INTRACEREBROVENTRICULAR (1)
Administration_route,intraarticular; INTRAMUSCULAR; INTRAVENOUS,1,INTRA-ARTICULAR; INTRAMUSCULAR; INTRAVENOUS (1)
Current_status,APPROVED,11348,MARKETED (11348)
Pharmaceutical_form,powder,631,"POWDER FOR SOLUTION (534); POWDER FOR SUSPENSION (72); POWDER FOR SUSPENSION, SUSTAINED-RELEASE (15); POWDER (METERED DOSE) (8); POWDER (EXTENDED RELEASE) (2)"
Pharmaceutical_form,tablet,760,"TABLET (EXTENDED-RELEASE) (339); TABLET (ORALLY DISINTEGRATING) (124); TABLET (DELAYED-RELEASE) (120); TABLET (CHEWABLE) (79); TABLET (ENTERIC-COATED) (39); TABLET (IMMEDIATE RELEASE) (33); TABLET (IMMEDIATE AND EXTENDED RELEASE) (6); TABLET (EFFERVESCENT) (5); VAGINAL TABLET (4); TABLET (IMMEDIATE AND DELAYED-RELEASE) (4); TABLET (CHEWABLE, EXTENDED-RELEASE) (3); TABLET (DELAYED AND EXTENDED RELEASE) (2); TABLET (COMBINED RELEASE) (1); VAGINAL TABLET, EFFERVESCENT (1)"
Pharmaceutical_form,capsule,330,CAPSULE (EXTENDED RELEASE) (161); CAPSULE (DELAYED RELEASE) (99); CAPSULE (CONTROLLED-DELIVERY) (30); CAPSULE (SUSTAINED-RELEASE) (19); CAPSULE (IMMEDIATE RELEASE) (8); CAPSULE (CONTROLLED RELEASE) (7); CAPSULE (IMMEDIATE AND DELAYED RELEASE) (2); CAPSULE (ENTERIC-COATED) (2); VAGINAL CAPSULE (1); CAPSULE (IMMEDIATE AND EXTENDED RELEASE) (1)
Pharmaceutical_form,powder; KIT,46,"POWDER FOR SOLUTION; KIT (39); POWDER FOR SUSPENSION, SUSTAINED-RELEASE; KIT (7)"
