field,cleaned_value,total_count,original_variants
Administration_route,intravenous; subcutaneous,2,intravenous or subcutaneous (2)
Administration_route,intramuscular; subcutaneous,2,intramuscular or subcutaneous (2)
Pharmaceutical_form,suspension,11,suspension for injection (6); Injectable suspension (2); injectable suspension (1); Suspension for injection (1); inhalation suspension (1)
Pharmaceutical_form,Powder,11,Powder for solution for infusion (2); Powder for solution for injection (2); Injection: Powder for reconstitution before use (2); Powder for reconstitution (1); Powder for suspension for injection (1); Powder for reconstitution prior to injection (1); Powder for reconstitution for injection (1); Powder for injection (1)
Pharmaceutical_form,capsule,17,Capsules (9); capsules (6); Inhalation capsule (1); Soft capsules (1)
Pharmaceutical_form,solution,58,solution for injection (37); solution for intravenous infusion (4); solution for infusion (3); Solution for injection (3); injectable solution (2); ophthalmic solution (2); solution for intravitreal injection (2); Injectable solution (2); oral solution (1); Inhalation solution (1); topical solution (1)
Pharmaceutical_form,Lyophilized powder,20,Lyophilized powder for injection (7); Lyophilized powder for solution for injection (7); Lyophilized powder for reconstitution for injection (4); Lyophilized powder for solution for infusion (1); Lyophilized powder for solution for subcutaneous injection (1)
Pharmaceutical_form,lyophilized powder,2,lyophilized powder for injection (1); lyophilized powder for reconstitution for injection (1)
Pharmaceutical_form,tablet,17,Film-coated tablets (6); Film-coated tablet (4); film-coated tablet (4); dispersible tablet (1); Extended release tablets (1); Extended-release tablets (1)
Pharmaceutical_form,Lyophilized product,2,Lyophilized product for reconstitution (1); Lyophilized product for intravenous infusion (1)
Pharmaceutical_form,powder,4,Dry powder for inhalation (2); Inhalation powder (1); dry powder for inhalation (1)
Pharmaceutical_form,injection,1,injection syringe (1)
Pharmaceutical_form,formulation,1,Freeze-dried formulation for injection (1)
Pharmaceutical_form,aerosol,2,inhalation aerosol (2)
Pharmaceutical_form,emulsion,1,emulsion for injection (1)
Pharmaceutical_form,lyophilized product,1,lyophilized drug product (1)
Pharmaceutical_form,concentrate,2,concentrate for a solution for intravenous infusion (1); concentrate for solution for intravenous infusion (1)
