File Name,Origin,Marketing_authorisation_number,Drug,Non_proprietary_name,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Orphan_drug_status,Indication_requested,Indication_approved,Disease_class(es),Application_date,Nonclinical_pharmacology_species,Nonclinical_pharmacology_strain,Nonclinical_pharmacology_model,Nonclinical_pharmacokinetics_species,Nonclinical_pharmacokinetics_strain,Nonclinical_pharmacokinetics_model
SwissPAR_Epidyolex_IE-1.pdf,Swissmedic,67590,Epidyolex,cannabidiol,Other,oral solution,oral,approved,authorised,30.08.2022,no,adjunctive therapy of seizures associated with tuberous sclerosis complex (TSC) for patients 1 year of age and older,adjunctive therapy of tuberous sclerosis complex (TSC) in patients 2 years of age and older,neurological disorders,02.09.2021,rat,NA,NA,rat,NA,NA
SwissPAR_Exkivity.pdf,Swissmedic,68147,Exkivity,mobocertinib,Small molecule,hard capsules,oral,temporary authorisation,authorised (under additional monitoring),01.06.2022,yes,"treatment of adult patients with epidermal growth factor receptor (EGFR) exon 20 insertion mutation-positive locally advanced or metastatic non-small cell lung cancer (NSCLC), who have received prior platinum-based chemotherapy","treatment of adult patients with epidermal growth factor receptor (EGFR) exon 20 insertion mutation-positive unresectable or metastatic non-small cell lung cancer (NSCLC), whose disease has progressed on or after platinum-containing chemotherapy",cancer,31.08.2021,mouse,NA,NA,mouse,NA,NA
SwissPAR_Jynneos_final.pdf,Swissmedic,69173,JYNNEOS,"modified vaccinia Ankara virus, live attenuated",Vaccine,suspension for injection,subcutaneous,approved,authorised,01.03.2024,no,"Active immunisation against disease caused by smallpox, monkeypox, and vaccinia virus in adults","Active immunisation against disease caused by smallpox, monkeypox, and vaccinia viruses in adults 18 years of age and older",Infectious diseases,23.12.2022,"mouse, non-human primate",NA,NA,"mouse, non-human primate",NA,NA
SwissPAR_Rinvoq_AS_final.pdf,Swissmedic,67257,Rinvoq,upadacitinib,Other,prolonged-release tablet,oral,approved,authorised,23.03.2021,no,treatment of adults with active ankylosing spondylitis who responded inadequately to conventional therapy,treatment of active ankylosing spondylitis in adult patients who have responded inadequately to non-steroidal anti-inflammatory drugs (NSAIDs),spondyloarthritis,17.06.2020,rat,NA,NA,rat,NA,NA
SwissPAR Rinvoq_morbus Crohn.pdf,Swissmedic,67257,Rinvoq,upadacitinib as upadacitinib hemihydrate,Other,prolonged-release tablets,oral use,approved,authorised,07.06.2024,no,treatment of adult patients with moderately to severely active Crohn's disease,"treatment of adult patients with moderately to severely active Crohn’s disease who have had an inadequate response, lost response, or were intolerant to at least 1 biologic agent",inflammatory bowel disease,01.11.2022,rat,NA,NA,rat,NA,NA
SwissPAR_Aspaveli.pdf,Swissmedic,68674,Aspaveli,pegcetacoplan,Other,solution for infusion,subcutaneous use,approved,authorised,23.03.2023,yes,treatment of adult patients with paroxysmal nocturnal haemoglobinuria (PNH) previously treated with standard therapy,"treatment of adult patients with paroxysmal nocturnal haemoglobinuria (PNH), who have an inadequate response to treatment with a C5 inhibitor",haematological disorders,06.01.2022,monkey,cynomolgus monkey,NA,monkey,cynomolgus monkey,NA
SwissPAR Cablivi Indikationserweiterung.pdf,Swissmedic,66792,Cablivi,caplacizumab,Biologics,Powder and solvent for solution for injection,"Subcutaneous use, intravenous use",approved,authorised,08.07.2021,yes,"Cablivi is used for the treatment of adults and adolescents of 12 years and older weighing at least 40 kg suffering from an episode of acquired thrombotic thrombocytopenic purpura (aTTP), in combination with plasmapheresis and immunosuppression.","Cablivi is used for the treatment of adults and adolescents of 12 years and older weighing at least 40 kg suffering from an episode of acquired thrombotic thrombocytopenic purpura (aTTP), in combination with plasmapheresis and immunosuppression.",acquired thrombotic thrombocytopenic purpura,27.05.2020,"guinea pig, macaque",NA,NA,NA,NA,NA
SwissPAR_Bimzelx_final.pdf,Swissmedic,68548,Bimzelx,bimekizumab,Biologics,solution for injection in a pre-filled syringe,subcutaneous,approved,authorised,27.10.2022,no,treatment of moderate to severe plaque psoriasis in adults who are candidates for systemic therapy or phototherapy,treatment of moderate to severe plaque psoriasis in adult patients who are candidates for systemic therapy,Psoriasis,16.06.2021,"mouse, rat",NA,NA,"mouse, rat",NA,NA
SwissPAR_Rinvoq_IE.pdf,Swissmedic,67257,Rinvoq,upadacitinib as upadacitinib hemihydrate,Other,prolonged-release tablet,oral,approved,authorised,26.11.2021,no,treatment of moderate to severe atopic dermatitis in adults who are candidates for systemic therapy,treatment of moderate to severe atopic dermatitis in adults when conventional topical drug therapy does not provide adequate disease control or cannot be used,Atopic dermatitis,19.10.2020,"rat, dog",NA,NA,"rat, dog",NA,NA
SwissPAR_Defitelio-1.pdf,Swissmedic,67667,Defitelio,defibrotide,Other,concentrate for solution for infusion,intravenous use,approved,authorised,21.09.2020,yes,severe hepatic veno-occlusive disease (VOD) also known as sinusoidal obstruction syndrome (SOS) in haematopoietic stem-cell transplantation (HSCT),"severe hepatic veno-occlusive disease (VOD) also known as sinusoidal obstruction syndrome (SOS) in haematopoietic stem-cell transplantation (HSCT) therapy in adults and in adolescents, children and infants of 1 month of age and above",Hepatic veno-occlusive disease (VOD),02.08.2019,"rat, dog",NA,NA,human,NA,NA
