Non_proprietary_name,n_agencies,drug_names,has_globally_consistent_name
"(1r,2s,5s)-n-((1s)-1-cyano-2-((3s)-2-oxopyrrolidin-3-yl)ethyl)-3-((2s)-3,3-dimethyl-2-(2,2,2-trifluoroacetamido)butanoyl)-6,6-dimethyl-3-azabicyclo[3.1.0]hexane-2-carboxamide / ritonavir",1,['paxlovid'],True
"*sarscov2 s-protein mrna, 5'(m7g-5'-ppp-5'-gm), 3'polya",1,['spikevax'],True
"*sarscov2 s-protein mrna, 5'[m27,3'-ogppp(m12'-o)apg], 3'polya+linker",1,['comirnaty'],True
13c-labelled urea,1,['helicobacter test infai'],True
5-aminolaevulinic acid,1,['ameluz'],True
"a/h5n1 pre-pandemic influenza vaccine (whole virion, vero cell derived, inactivated)",1,['vepacel'],True
a/viet nam/1194/2004 (h5n1) virus surface inactivated antigen,1,['foclivia'],True
abacavir,1,"['abacavir and lamivudine', 'abacavir; dolutegravir; lamivudine', 'abacavir; lamivudine', 'epzicom']",True
abacavir (abacavir sulfate),1,"['apo-abacavir', 'mint-abacavir', 'ziagen']",True
abacavir (abacavir sulfate); lamivudine,1,"['jamp abacavir / lamivudine', 'kivexa', 'mylan-abacavir/lamivudine', 'pms-abacavir-lamivudine', 'teva-abacavir/lamivudine']",True
abacavir sulfate,1,"['abacavir sulfate', 'abacavir sulfate and lamivudine', 'abacavir sulfate, lamivudine and zidovudine', 'abacavir sulfate; lamivudine', 'epzicom', 'triumeq', 'triumeq pd', 'trizivir', 'ziagen']",True
abacavir || dolutegravir || lamivudine,1,['abacavir || dolutegravir || lamivudine'],True
abaloparatide,5,"['eladynos', 'ostabalo', 'tymlos']",False
abametapir,1,['xeglyze'],True
abarelix,1,['plenaxis'],True
abatacept,4,['orencia'],True
abemaciclib,4,"['verzenio', 'verzenios']",False
abicipar pegol,1,['rayoqta'],True
abiraterone,1,['zytiga'],True
abiraterone acetate,4,"['abiraterone', 'abiraterone accord', 'abiraterone acetate', 'abiraterone krka', 'abiraterone mylan', 'akeega', 'apo-abiraterone film coated tablets', 'jamp abiraterone', 'mar-abiraterone', 'nat-abiraterone', 'pms-abiraterone', 'reddy-abiraterone', 'sandoz abiraterone', 'yonsa', 'zytiga']",False
abiraterone acetate and methylprednisolone,1,['yonsa mpred'],True
abiraterone acetate; niraparib (niraparib tosylate),1,['akeega'],True
abobotulinumtoxina,2,"['dysport', 'dysport aesthetic', 'dysport therapeutic']",False
abrocitinib,6,['cibinqo'],True
acalabrutinib,5,"['acalabrutinib', 'calquence']",True
acalabrutinib (acalabrutinib maleate),1,['calquence'],True
acalabrutinib maleate,1,['calquence'],True
acamprosate calcium,2,"['acamprosate calcium', 'campral']",True
acarbose,2,"['acarbose', 'mar-acarbose', 'mint-acarbose', 'precose']",False
acebutolol (acebutolol hydrochloride),1,"['apo-acebutolol', 'teva-acebutolol']",True
acebutolol hydrochloride,1,['acebutolol hydrochloride'],True
aceneuramic acid,1,['acenobel'],True
