Non_proprietary_name,Drug_name,n_agencies_per_name,n_agencies,is_globally_consistent
"(1r,2s,5s)-n-((1s)-1-cyano-2-((3s)-2-oxopyrrolidin-3-yl)ethyl)-3-((2s)-3,3-dimethyl-2-(2,2,2-trifluoroacetamido)butanoyl)-6,6-dimethyl-3-azabicyclo[3.1.0]hexane-2-carboxamide / ritonavir",paxlovid,1,1,True
"*sarscov2 s-protein mrna, 5'(m7g-5'-ppp-5'-gm), 3'polya",spikevax,1,1,True
"*sarscov2 s-protein mrna, 5'[m27,3'-ogppp(m12'-o)apg], 3'polya+linker",comirnaty,1,1,True
13c-labelled urea,helicobacter test infai,1,1,True
5-aminolaevulinic acid,ameluz,1,1,True
"a/h5n1 pre-pandemic influenza vaccine (whole virion, vero cell derived, inactivated)",vepacel,1,1,True
a/viet nam/1194/2004 (h5n1) virus surface inactivated antigen,foclivia,1,1,True
abacavir,abacavir and lamivudine,1,1,True
abacavir,abacavir; dolutegravir; lamivudine,1,1,True
abacavir,abacavir; lamivudine,1,1,True
abacavir,epzicom,1,1,True
abacavir (abacavir sulfate),apo-abacavir,1,1,True
abacavir (abacavir sulfate),mint-abacavir,1,1,True
abacavir (abacavir sulfate),ziagen,1,1,True
abacavir (abacavir sulfate); lamivudine,jamp abacavir / lamivudine,1,1,True
abacavir (abacavir sulfate); lamivudine,kivexa,1,1,True
abacavir (abacavir sulfate); lamivudine,mylan-abacavir/lamivudine,1,1,True
abacavir (abacavir sulfate); lamivudine,pms-abacavir-lamivudine,1,1,True
abacavir (abacavir sulfate); lamivudine,teva-abacavir/lamivudine,1,1,True
abacavir sulfate,abacavir sulfate,1,1,True
abacavir sulfate,abacavir sulfate and lamivudine,1,1,True
abacavir sulfate,"abacavir sulfate, lamivudine and zidovudine",1,1,True
abacavir sulfate,abacavir sulfate; lamivudine,1,1,True
abacavir sulfate,epzicom,1,1,True
abacavir sulfate,triumeq,1,1,True
abacavir sulfate,triumeq pd,1,1,True
abacavir sulfate,trizivir,1,1,True
abacavir sulfate,ziagen,1,1,True
abacavir || dolutegravir || lamivudine,abacavir || dolutegravir || lamivudine,1,1,True
abaloparatide,eladynos,2,5,False
abaloparatide,ostabalo,1,5,False
abaloparatide,tymlos,2,5,False
abametapir,xeglyze,1,1,True
abarelix,plenaxis,1,1,True
abatacept,orencia,4,4,True
abemaciclib,verzenio,3,4,False
abemaciclib,verzenios,1,4,False
abicipar pegol,rayoqta,1,1,True
abiraterone,zytiga,1,1,True
abiraterone acetate,abiraterone,1,4,False
abiraterone acetate,abiraterone accord,1,4,False
abiraterone acetate,abiraterone acetate,1,4,False
abiraterone acetate,abiraterone krka,1,4,False
abiraterone acetate,abiraterone mylan,1,4,False
abiraterone acetate,akeega,1,4,False
abiraterone acetate,apo-abiraterone film coated tablets,1,4,False
abiraterone acetate,jamp abiraterone,1,4,False
abiraterone acetate,mar-abiraterone,1,4,False
abiraterone acetate,nat-abiraterone,1,4,False
abiraterone acetate,pms-abiraterone,1,4,False
abiraterone acetate,reddy-abiraterone,1,4,False
abiraterone acetate,sandoz abiraterone,1,4,False
abiraterone acetate,yonsa,1,4,False
abiraterone acetate,zytiga,3,4,False
abiraterone acetate and methylprednisolone,yonsa mpred,1,1,True
abiraterone acetate; niraparib (niraparib tosylate),akeega,1,1,True
abobotulinumtoxina,dysport,1,2,False
abobotulinumtoxina,dysport aesthetic,1,2,False
abobotulinumtoxina,dysport therapeutic,1,2,False
abrocitinib,cibinqo,6,6,True
acalabrutinib,acalabrutinib,1,5,False
acalabrutinib,calquence,5,5,True
acalabrutinib (acalabrutinib maleate),calquence,1,1,True
acalabrutinib maleate,calquence,1,1,True
acamprosate calcium,acamprosate calcium,1,2,False
acamprosate calcium,campral,2,2,True
acarbose,acarbose,1,2,False
acarbose,mar-acarbose,1,2,False
acarbose,mint-acarbose,1,2,False
acarbose,precose,1,2,False
acebutolol (acebutolol hydrochloride),apo-acebutolol,1,1,True
acebutolol (acebutolol hydrochloride),teva-acebutolol,1,1,True
acebutolol hydrochloride,acebutolol hydrochloride,1,1,True
aceneuramic acid,acenobel,1,1,True
acetaminophen,acet 120,1,2,False
acetaminophen,acet 160,1,2,False
acetaminophen,acet 325,1,2,False
acetaminophen,acet 650,1,2,False
acetaminophen,acetaminophen,1,2,False
acetaminophen,acetaminophen 160 mg chewable tablets,1,2,False
acetaminophen,acetaminophen 325mg tablets regular strength,1,2,False
acetaminophen,acetaminophen 500 mg tablets extra strength easy to swallow,1,2,False
acetaminophen,acetaminophen 500mg tablets extra strength,1,2,False
acetaminophen,acetaminophen and codeine phosphate,1,2,False
acetaminophen,acetaminophen and ibuprofen,1,2,False
acetaminophen,acetaminophen and pentazocine hydrochloride,1,2,False
acetaminophen,acetaminophen arthritis pain,1,2,False
acetaminophen,acetaminophen caplets 325 mg,1,2,False
acetaminophen,acetaminophen caplets 500 mg,1,2,False
acetaminophen,acetaminophen extra strength liquid gels,1,2,False
acetaminophen,acetaminophen injection,1,2,False
acetaminophen,acetaminophen tablets usp 325 mg,1,2,False
acetaminophen,acetaminophen tablets usp 500 mg,1,2,False
acetaminophen,"acetaminophen, aspirin and caffeine",1,2,False
acetaminophen,"acetaminophen, caffeine and dihydrocodeine bitartrate",1,2,False
acetaminophen,"acetaminophen, caffeine, and dihydrocodeine bitartrate",1,2,False
acetaminophen,acetaminophen; oxycodone hydrochloride,1,2,False
acetaminophen,acétaminophène caplet 325,1,2,False
acetaminophen,acétaminophène caplet 500,1,2,False
acetaminophen,advil dual action with acetaminophen,1,2,False
acetaminophen,allzital; butalbital and acetaminophen,1,2,False
acetaminophen,anexsia,1,2,False
acetaminophen,anexsia 5/325,1,2,False
acetaminophen,anexsia 7.5/325,1,2,False
acetaminophen,apadaz,1,2,False
acetaminophen,apo-acetaminophen caplets,1,2,False
acetaminophen,apo-acetaminophen caplets extra strength,1,2,False
acetaminophen,arthritis pain relief,1,2,False
acetaminophen,butalbital and acetaminophen,1,2,False
acetaminophen,"butalbital, acetaminophen and caffeine",1,2,False
acetaminophen,"butalbital, acetaminophen, caffeine and codeine phosphate",1,2,False
acetaminophen,children's acetaminophen suspension,1,2,False
acetaminophen,children's tylenol chewables,1,2,False
acetaminophen,children's tylenol easy dissolve,1,2,False
acetaminophen,children's tylenol fever & sore throat pain,1,2,False
acetaminophen,codrix,1,2,False
acetaminophen,combogesic,1,2,False
acetaminophen,combogesic iv,1,2,False
acetaminophen,darvocet a500,1,2,False
acetaminophen,esgic-plus,1,2,False
acetaminophen,excedrin (migraine relief),1,2,False
acetaminophen,extra strength acetaminophen,1,2,False
acetaminophen,extra strength easy tabs 500 mg,1,2,False
acetaminophen,hydrocodone bitartrate and acetaminophen,1,2,False
acetaminophen,hydrocodone bitartrate and acetaminophen; norco,1,2,False
acetaminophen,infants' tylenol fever & sore throat pain,1,2,False
acetaminophen,jamp acetaminophen 325,1,2,False
acetaminophen,jamp acetaminophen 500,1,2,False
acetaminophen,junior strength children's acetaminophen tablets,1,2,False
acetaminophen,lortab,1,2,False
acetaminophen,muscle aches and body pain relief,1,2,False
acetaminophen,norco,1,2,False
acetaminophen,ofirmev,1,2,False
acetaminophen,oxycodone and acetaminophen,1,2,False
acetaminophen,oxycodone hydrochloride and acetaminophen,1,2,False
acetaminophen,percocet,1,2,False
acetaminophen,phrenilin with caffeine and codeine,1,2,False
acetaminophen,propoxyphene hydrochloride and acetaminophen,1,2,False
acetaminophen,propoxyphene napsylate and acetaminophen,1,2,False
acetaminophen,regular strength acetaminophen,1,2,False
acetaminophen,roxilox,1,2,False
acetaminophen,taminol caplets,1,2,False
acetaminophen,tavist allergy/sinus/headache,1,2,False
acetaminophen,tramadol hydrochloride and acetaminophen,1,2,False
acetaminophen,trezix,1,2,False
acetaminophen,tylenol arthritis pain 8h,1,2,False
acetaminophen,tylenol muscle & body,1,2,False
acetaminophen,ultracet,1,2,False
acetaminophen,vicodin hp,1,2,False
acetaminophen,xartemis xr,1,2,False
acetaminophen,zydone,1,2,False
acetaminophen,zyfrel,1,2,False
acetaminophen; butalbital,"butalbital, acetaminophen, caffeine and codeine phosphate; butalbital; acetaminophen; caffeine; codeine",1,1,True
