Non_proprietary_name,australia,ema,fda,healthcanada,japan,swissmedic,n_unique_drug_names
"(1r,2s,5s)-n-((1s)-1-cyano-2-((3s)-2-oxopyrrolidin-3-yl)ethyl)-3-((2s)-3,3-dimethyl-2-(2,2,2-trifluoroacetamido)butanoyl)-6,6-dimethyl-3-azabicyclo[3.1.0]hexane-2-carboxamide / ritonavir",,['paxlovid'],,,,,1
"*sarscov2 s-protein mrna, 5'(m7g-5'-ppp-5'-gm), 3'polya",,,,['spikevax'],,,1
"*sarscov2 s-protein mrna, 5'[m27,3'-ogppp(m12'-o)apg], 3'polya+linker",,,,['comirnaty'],,,1
13c-labelled urea,,['helicobacter test infai'],,,,,1
5-aminolaevulinic acid,,['ameluz'],,,,,1
"a/h5n1 pre-pandemic influenza vaccine (whole virion, vero cell derived, inactivated)",,['vepacel'],,,,,1
a/viet nam/1194/2004 (h5n1) virus surface inactivated antigen,,['foclivia'],,,,,1
abacavir,,,"['abacavir and lamivudine', 'abacavir; dolutegravir; lamivudine', 'abacavir; lamivudine', 'epzicom']",,,,4
abacavir (abacavir sulfate),,,,"['apo-abacavir', 'mint-abacavir', 'ziagen']",,,3
abacavir (abacavir sulfate); lamivudine,,,,"['jamp abacavir / lamivudine', 'kivexa', 'mylan-abacavir/lamivudine', 'pms-abacavir-lamivudine', 'teva-abacavir/lamivudine']",,,5
abacavir sulfate,,,"['abacavir sulfate', 'abacavir sulfate and lamivudine', 'abacavir sulfate, lamivudine and zidovudine', 'abacavir sulfate; lamivudine', 'epzicom', 'triumeq', 'triumeq pd', 'trizivir', 'ziagen']",,,,9
abacavir || dolutegravir || lamivudine,,,['abacavir || dolutegravir || lamivudine'],,,,1
abaloparatide,['eladynos'],['eladynos'],['tymlos'],,['ostabalo'],['tymlos'],3
abametapir,,,['xeglyze'],,,,1
abarelix,,,['plenaxis'],,,,1
abatacept,['orencia'],,['orencia'],['orencia'],['orencia'],,1
abemaciclib,['verzenio'],['verzenios'],['verzenio'],['verzenio'],,,2
abicipar pegol,,['rayoqta'],,,,,1
abiraterone,,['zytiga'],,,,,1
abiraterone acetate,['zytiga'],"['abiraterone accord', 'abiraterone krka', 'abiraterone mylan']","['abiraterone acetate', 'akeega', 'yonsa', 'zytiga']","['abiraterone', 'apo-abiraterone film coated tablets', 'jamp abiraterone', 'mar-abiraterone', 'nat-abiraterone', 'pms-abiraterone', 'reddy-abiraterone', 'sandoz abiraterone', 'zytiga']",,,15
abiraterone acetate and methylprednisolone,['yonsa mpred'],,,,,,1
abiraterone acetate; niraparib (niraparib tosylate),,,,['akeega'],,,1
abobotulinumtoxina,,,['dysport'],"['dysport aesthetic', 'dysport therapeutic']",,,3
abrocitinib,['cibinqo'],['cibinqo'],['cibinqo'],['cibinqo'],['cibinqo'],['cibinqo'],1
acalabrutinib,['calquence'],['calquence'],"['acalabrutinib', 'calquence']",['calquence'],,['calquence'],2
acalabrutinib (acalabrutinib maleate),,,,['calquence'],,,1
acalabrutinib maleate,,,['calquence'],,,,1
acamprosate calcium,,,"['acamprosate calcium', 'campral']",['campral'],,,2
acarbose,,,"['acarbose', 'precose']","['mar-acarbose', 'mint-acarbose']",,,4
acebutolol (acebutolol hydrochloride),,,,"['apo-acebutolol', 'teva-acebutolol']",,,2
acebutolol hydrochloride,,,['acebutolol hydrochloride'],,,,1
aceneuramic acid,,,,,['acenobel'],,1
